,Unnamed: 0,red_fighter_name,blue_fighter_name,event_date,red_fighter_nickname,blue_fighter_nickname,red_fighter_result,blue_fighter_result,method,round,time,time_format,referee,details,bout_type,bonus,event_name,event_location,red_fighter_KD,blue_fighter_KD,red_fighter_sig_str,blue_fighter_sig_str,red_fighter_sig_str_pct,blue_fighter_sig_str_pct,red_fighter_total_str,blue_fighter_total_str,red_fighter_TD,blue_fighter_TD,red_fighter_TD_pct,blue_fighter_TD_pct,red_fighter_sub_att,blue_fighter_sub_att,red_fighter_rev,blue_fighter_rev,red_fighter_ctrl,blue_fighter_ctrl,red_fighter_sig_str_head,blue_fighter_sig_str_head,red_fighter_sig_str_body,blue_fighter_sig_str_body,red_fighter_sig_str_leg,blue_fighter_sig_str_leg,red_fighter_sig_str_distance,blue_fighter_sig_str_distance,red_fighter_sig_str_clinch,blue_fighter_sig_str_clinch,red_fighter_sig_str_ground,blue_fighter_sig_str_ground,red_fighter_sig_str_head_pct,blue_fighter_sig_str_head_pct,red_fighter_sig_str_body_pct,blue_fighter_sig_str_body_pct,red_fighter_sig_str_leg_pct,blue_fighter_sig_str_leg_pct,red_fighter_sig_str_distance_pct,blue_fighter_sig_str_distance_pct,red_fighter_sig_str_clinch_pct,blue_fighter_sig_str_clinch_pct,red_fighter_sig_str_ground_pct,blue_fighter_sig_str_ground_pct,red_fighter_total_pts,blue_fighter_total_pts,red_nickname,red_wins,red_losses,red_draws,red_height_cm,red_weight_in_kg,red_reach_in_cm,red_stance,red_date_of_birth,red_significant_strikes_landed_per_minute,red_significant_striking_accuracy,red_significant_strikes_absorbed_per_minute,red_significant_strike_defence,red_average_takedowns_landed_per_15_minutes,red_takedown_accuracy,red_takedown_defense,red_average_submissions_attempted_per_15_minutes,blue_nickname,blue_wins,blue_losses,blue_draws,blue_height_cm,blue_weight_in_kg,blue_reach_in_cm,blue_stance,blue_date_of_birth,blue_significant_strikes_landed_per_minute,blue_significant_striking_accuracy,blue_significant_strikes_absorbed_per_minute,blue_significant_strike_defence,blue_average_takedowns_landed_per_15_minutes,blue_takedown_accuracy,blue_takedown_defense,blue_average_submissions_attempted_per_15_minutes
1184,1171,CAIO BORRALHO,ARMEN PETROSYAN,09/07/2022,The Natural,Superman,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,Doug Crosby 27 - 30. Sal D'amato 27 - 30. Mike Bell 28 - 29.,Middleweight Bout,-,UFC Fight Night: Dos Anjos vs. Fiziev,"Las Vegas, Nevada, USA",0,0,12 of 25,31 of 61,48,50,49 of 83,72 of 132,4 of 5,0 of 0,80,---,0,0,0,1,10:09,1:19,4 of 15,2 of 19,6 of 8,3 of 9,2 of 2,26 of 33,11 of 23,16 of 40,1 of 2,0 of 0,0 of 0,15 of 21,33,6,50,9,16,83,91,51,8,0,0,48,29 30 30,28 27 27,The Natural,15.0,1.0,0.0,177.8,83.91,190.5,Southpaw,1993-01-16,2.73,58.0,1.98,60.0,2.16,63.0,57.0,0.5,Superman,9.0,2.0,0.0,190.5,83.91,180.34,Orthodox,1990-11-02,5.97,52.0,3.03,56.0,0.23,33.0,36.0,0.0
1185,1172,DOUGLAS SILVA DE ANDRADE,SAID NURMAGOMEDOV,09/07/2022,D Silva,-,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell 27 - 30. Derek Cleary 28 - 29. Adalaide Byrd 28 - 29.,Bantamweight Bout,-,UFC Fight Night: Dos Anjos vs. Fiziev,"Las Vegas, Nevada, USA",0,0,28 of 74,42 of 97,37,43,44 of 95,77 of 150,1 of 1,1 of 5,100,20,0,0,0,0,4:12,0:22,4 of 34,21 of 69,11 of 19,12 of 18,13 of 21,9 of 10,24 of 66,39 of 89,2 of 3,3 of 8,2 of 5,0 of 0,14,50,39,28,46,21,85,92,7,7,7,0,27 28 28,30 29 29,D Silva,29.0,5.0,0.0,170.18,61.23,172.72,Orthodox,1985-06-22,3.66,38.0,3.99,58.0,0.61,46.0,70.0,0.2,,18.0,3.0,0.0,172.72,61.23,177.8,Orthodox,1992-04-05,3.55,47.0,2.13,57.0,1.01,16.0,66.0,1.4
1186,1173,JARED VANDERAA,CHASE SHERMAN,09/07/2022,-,The Vanilla Gorilla,L,W,KO/TKO,3,3:10,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance,Heavyweight Bout,perf,UFC Fight Night: Dos Anjos vs. Fiziev,"Las Vegas, Nevada, USA",0,1,109 of 266,137 of 235,40,58,109 of 267,137 of 235,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,76 of 224,86 of 175,18 of 25,32 of 39,15 of 17,19 of 21,108 of 265,134 of 231,1 of 1,3 of 3,0 of 0,0 of 1,69,62,16,23,13,13,99,97,0,2,0,0,18 19 19,20 19 19,,12.0,10.0,0.0,193.04,120.2,203.2,Orthodox,1992-05-12,4.96,44.0,5.67,45.0,0.18,50.0,20.0,0.0,The Vanilla Gorilla,16.0,12.0,0.0,193.04,113.4,198.12,Orthodox,1989-11-16,6.04,45.0,6.65,52.0,0.09,50.0,74.0,0.0
1187,1174,AIEMANN ZAHABI,RICKY TURCIOS,09/07/2022,-,-,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,Derek Cleary 28 - 29. Doug Crosby 28 - 29. Sal D'amato 28 - 29.,Bantamweight Bout,-,UFC Fight Night: Dos Anjos vs. Fiziev,"Las Vegas, Nevada, USA",0,0,54 of 105,27 of 235,51,11,54 of 105,27 of 235,0 of 0,0 of 2,---,0,0,0,0,0,0:00,0:00,18 of 59,14 of 204,9 of 14,5 of 21,27 of 32,8 of 10,53 of 104,27 of 235,1 of 1,0 of 0,0 of 0,0 of 0,33,51,16,18,50,29,98,100,1,0,0,0,29 29 29,28 28 28,,10.0,2.0,0.0,172.72,61.23,172.72,Orthodox,1987-11-19,3.04,43.0,3.4,72.0,0.25,16.0,75.0,0.0,,13.0,3.0,0.0,175.26,61.23,180.34,Orthodox,1993-06-05,5.08,37.0,3.7,55.0,1.0,25.0,45.0,0.2
1188,1175,MICHAEL JOHNSON,JAMIE MULLARKEY,09/07/2022,The Menace,-,L,W,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Derek Cleary 28 - 29. Mike Bell 29 - 28. Anthony Maness 28 - 29.,Lightweight Bout,fight,UFC Fight Night: Dos Anjos vs. Fiziev,"Las Vegas, Nevada, USA",1,0,66 of 190,96 of 217,34,44,68 of 194,96 of 218,0 of 2,0 of 2,0,0,0,0,0,0,0:37,0:17,42 of 147,54 of 160,22 of 41,21 of 34,2 of 2,21 of 23,58 of 179,83 of 195,4 of 5,11 of 18,4 of 6,2 of 4,63,56,33,21,3,21,87,86,6,11,6,2,29 28 28,28 29 29,The Menace,22.0,19.0,0.0,177.8,70.31,185.42,Southpaw,1986-06-04,4.28,39.0,3.91,58.0,0.46,38.0,80.0,0.1,,17.0,6.0,0.0,182.88,70.31,187.96,Orthodox,1994-08-17,4.46,47.0,4.41,54.0,2.46,34.0,76.0,0.1
1189,1176,CODY BRUNDAGE,TRESEAN GORE,09/07/2022,-,Mr. Vicious,W,L,KO/TKO,1,3:50,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,Middleweight Bout,-,UFC Fight Night: Dos Anjos vs. Fiziev,"Las Vegas, Nevada, USA",1,0,15 of 39,8 of 25,38,32,23 of 49,8 of 27,1 of 2,0 of 0,50,---,0,0,0,0,1:18,0:00,10 of 33,2 of 15,5 of 6,0 of 1,0 of 0,6 of 9,12 of 33,8 of 25,1 of 2,0 of 0,2 of 4,0 of 0,66,25,33,0,0,75,80,100,6,0,13,0,- - -,- - -,,10.0,5.0,0.0,182.88,83.91,182.88,Orthodox,1994-05-16,1.8,55.0,2.51,43.0,2.69,52.0,73.0,1.1,Mr. Vicious,5.0,2.0,0.0,182.88,83.91,190.5,Switch,1994-06-21,3.04,53.0,6.13,47.0,3.04,71.0,81.0,1.2
1190,1177,ANTONINA SHEVCHENKO,CORTNEY CASEY,09/07/2022,La Pantera,Cast Iron,W,L,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Derek Cleary 28 - 29. Junichiro Kamijo 29 - 28. Adalaide Byrd 28 - 29.,Women's Flyweight Bout,-,UFC Fight Night: Dos Anjos vs. Fiziev,"Las Vegas, Nevada, USA",0,0,55 of 117,33 of 86,47,38,81 of 158,80 of 146,0 of 1,2 of 5,0,40,0,0,0,0,1:50,3:08,26 of 73,17 of 52,15 of 26,2 of 7,14 of 18,14 of 27,54 of 115,28 of 78,1 of 2,3 of 4,0 of 0,2 of 4,47,51,27,6,25,42,98,84,1,9,0,6,29 29 28,28 28 29,La Pantera,10.0,4.0,0.0,172.72,56.7,170.18,Southpaw,1984-11-20,3.86,55.0,2.93,52.0,0.43,42.0,53.0,0.4,Cast Iron,10.0,10.0,0.0,170.18,56.7,170.18,Orthodox,1987-05-05,4.29,39.0,4.0,55.0,0.39,31.0,39.0,0.5
1191,1178,DAVID ONAMA,GARRETT ARMFIELD,09/07/2022,-,-,W,L,Submission,2,3:13,3 Rnd (5-5-5),Mike Beltran,Arm Triangle From Half Guard,Featherweight Bout,-,UFC Fight Night: Dos Anjos vs. Fiziev,"Las Vegas, Nevada, USA",0,0,29 of 72,21 of 72,40,29,46 of 95,29 of 83,2 of 6,0 of 2,33,0,1,0,0,0,2:35,1:52,16 of 55,15 of 61,13 of 17,4 of 9,0 of 0,2 of 2,27 of 66,20 of 68,1 of 3,1 of 4,1 of 3,0 of 0,55,71,44,19,0,9,93,95,3,4,3,0,10 10 10,9 9 9,,11.0,2.0,0.0,180.34,65.77,187.96,Orthodox,1994-06-07,5.38,46.0,5.48,51.0,0.87,18.0,45.0,0.3,,9.0,3.0,0.0,167.64,61.23,177.8,Orthodox,1996-10-09,5.29,44.0,3.52,57.0,0.0,0.0,75.0,0.0
1192,1179,KENNEDY NZECHUKWU,KARL ROBERSON,09/07/2022,African Savage,Baby K,W,L,KO/TKO,3,2:19,3 Rnd (5-5-5),Mark Smith,Elbows to Head From Back Control,Light Heavyweight Bout,-,UFC Fight Night: Dos Anjos vs. Fiziev,"Las Vegas, Nevada, USA",0,0,20 of 43,9 of 19,46,47,64 of 114,16 of 26,5 of 7,0 of 3,71,0,1,0,0,0,10:46,0:23,18 of 37,4 of 13,2 of 6,4 of 5,0 of 0,1 of 1,3 of 22,9 of 19,0 of 0,0 of 0,17 of 21,0 of 0,90,44,10,44,0,11,15,100,0,0,85,0,20 20 20,18 18 18,African Savage,12.0,4.0,0.0,195.58,92.99,210.82,Southpaw,1992-06-13,4.86,46.0,4.27,51.0,0.68,50.0,80.0,0.3,Baby K,9.0,6.0,0.0,185.42,92.99,187.96,Southpaw,1990-10-04,2.57,51.0,2.42,57.0,0.72,40.0,42.0,0.5
1193,1180,RONNIE LAWRENCE,SAIDYOKUB KAKHRAMONOV,09/07/2022,The Heat,-,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Tony Weeks 26 - 30. Sal D'amato 27 - 30. Junichiro Kamijo 27 - 30.,Bantamweight Bout,-,UFC Fight Night: Dos Anjos vs. Fiziev,"Las Vegas, Nevada, USA",0,0,15 of 33,32 of 59,45,54,16 of 34,105 of 156,1 of 2,10 of 16,50,62,0,0,0,0,0:04,12:19,8 of 21,28 of 53,4 of 9,1 of 3,3 of 3,3 of 3,14 of 32,4 of 20,1 of 1,7 of 9,0 of 0,21 of 30,53,87,26,3,20,9,93,12,6,21,0,65,27 27 26,30 30 30,The Heat,8.0,2.0,0.0,172.72,61.23,172.72,Switch,1992-06-13,2.78,56.0,1.75,52.0,6.75,77.0,45.0,0.2,,10.0,3.0,0.0,172.72,61.23,175.26,Orthodox,1995-11-14,2.05,51.0,0.88,58.0,6.63,48.0,83.0,1.9
