,red_fighter_name,blue_fighter_name,method,round,time,bout_type,bonus,red_fighter_KD,blue_fighter_KD,red_fighter_sig_str_pct,blue_fighter_sig_str_pct,red_fighter_TD_pct,blue_fighter_TD_pct,red_fighter_sub_att,blue_fighter_sub_att,red_fighter_rev,blue_fighter_rev,red_fighter_ctrl,blue_fighter_ctrl,red_fighter_sig_str_head_pct,blue_fighter_sig_str_head_pct,red_fighter_sig_str_body_pct,blue_fighter_sig_str_body_pct,red_fighter_sig_str_leg_pct,blue_fighter_sig_str_leg_pct,red_fighter_sig_str_distance_pct,blue_fighter_sig_str_distance_pct,red_fighter_sig_str_clinch_pct,blue_fighter_sig_str_clinch_pct,red_fighter_sig_str_ground_pct,blue_fighter_sig_str_ground_pct,red_wins,red_losses,red_draws,red_height_cm,red_weight_in_kg,red_significant_strikes_landed_per_minute,red_significant_striking_accuracy,red_significant_strikes_absorbed_per_minute,red_significant_strike_defence,red_average_takedowns_landed_per_15_minutes,red_takedown_accuracy,red_takedown_defense,red_average_submissions_attempted_per_15_minutes,blue_wins,blue_losses,blue_draws,blue_height_cm,blue_significant_strikes_landed_per_minute,blue_significant_striking_accuracy,blue_significant_strikes_absorbed_per_minute,blue_significant_strike_defence,blue_average_takedowns_landed_per_15_minutes,blue_takedown_accuracy,blue_takedown_defense,blue_average_submissions_attempted_per_15_minutes,who_wins,red_fighter_sig_str_landed,blue_fighter_sig_str_landed,red_fighter_total_str_landed,blue_fighter_total_str_landed,red_fighter_TD_landed,red_fighter_TD_attempted,blue_fighter_TD_landed,blue_fighter_TD_attempted,red_fighter_sig_str_body_landed,blue_fighter_sig_str_body_landed,red_fighter_sig_str_leg_landed,blue_fighter_sig_str_leg_landed,red_fighter_sig_str_clinch_landed,blue_fighter_sig_str_clinch_landed,red_fighter_sig_str_ground_landed,blue_fighter_sig_str_ground_landed,red_fighter_age,blue_fighter_age,blue_fighter_stats_missing,red_fighter_stats_missing
460,728,772,5,1,242,0,3,0,0,47.0,40.0,33.0,0.0,0,0,0,0,125.0,0,60.0,60,0.0,30.0,40.0,10.0,80.0,100.0,20,0,0,0.0,20.0,13.0,0.0,170.18,56.7,3.41,44.0,2.67,56.0,3.73,47.0,59.0,1.0,16.0,5.0,0.0,172.72,4.83,54.0,2.75,62.0,0.32,93.5,66.0,0.6,1,10.0,10.0,26.0,10.0,1,3,0.0,0,0,3,4.0,1.0,2,0,0,0.0,38.0,29.0,0,0
461,403,52,2,3,300,7,0,0,0,45.0,46.0,0.0,78.0,0,0,0,0,178.0,413,77.0,71,11.0,21.0,11.0,7.0,40.0,92.0,0,0,50,7.0,17.0,5.0,0.0,177.8,83.91,4.94,51.0,3.66,53.0,2.1,50.0,69.0,1.2,23.0,6.0,0.0,185.42,2.17,50.0,2.03,53.0,2.97,40.0,35.0,1.5,0,27.0,14.0,52.0,35.0,0,0,2.5,10,3,3,3.0,1.0,0,0,15,1.0,33.0,34.0,0,0
462,696,486,3,3,300,28,0,0,0,39.0,57.0,0.0,50.0,0,0,0,0,0.0,86,69.0,58,12.0,11.0,17.0,30.0,88.0,90.0,11,9,0,0.0,20.0,7.0,0.0,182.88,77.11,4.4,47.0,5.86,52.0,0.41,66.0,62.0,0.0,9.0,2.0,0.0,187.96,6.02,50.0,7.385000000000002,33.0,3.11,93.5,5.0,1.7499999999999998,0,62.0,134.0,88.0,158.0,0,1,1.0,2,8,15,11.0,23.5,7,13,0,0.0,34.0,31.0,0,0
463,289,756,4,2,239,3,3,0,0,40.0,40.0,0.0,0.0,0,0,0,0,201.0,0,66.0,53,22.0,19.0,12.0,27.0,72.0,97.0,12,2,16,0.0,8.0,0.0,0.0,170.18,56.7,3.51,48.0,2.62,59.0,2.23,30.0,100.0,2.0,13.0,8.0,0.0,167.64,6.58,38.0,7.385000000000002,52.0,0.0,0.0,100.0,0.0,1,50.0,47.0,65.0,61.0,0,1,0.0,0,11,9,6.0,13.0,6,1,8,0.0,29.0,35.0,0,0
464,704,592,4,2,61,6,0,0,0,59.0,60.0,0.0,20.0,0,0,0,0,46.0,281,89.0,16,6.0,33.0,3.0,50.0,13.0,33.0,10,35,50,0.0,14.0,5.0,0.0,182.88,70.31,4.85,56.0,2.61,46.0,1.51,44.0,94.0,0.4,20.0,6.0,0.0,177.8,5.11,45.0,2.53,64.0,1.87,37.0,42.0,0.6,1,29.0,6.0,41.0,20.0,0,0,2.0,10,2,2,1.0,3.0,3,4,15,0.0,32.0,28.0,0,0
465,465,765,3,3,300,29,0,0,0,50.0,38.0,50.0,100.0,0,0,0,0,464.0,66,37.0,70,41.0,29.0,20.0,0.0,94.0,65.0,5,34,0,0.0,6.0,1.0,0.0,167.64,61.23,7.450000000000001,60.0,6.52,68.0,0.0,0.0,100.0,0.0,8.0,4.0,0.0,167.64,1.93,53.0,2.08,53.0,3.04,40.0,50.0,0.8,1,53.0,44.0,97.0,112.0,2,4,1.0,1,22,13,11.0,0.0,3,15,0,0.0,24.0,36.0,0,0
466,718,133,4,2,55,3,0,0,0,76.0,50.0,0.0,0.0,0,0,0,0,216.0,53,90.0,100,3.0,0.0,6.0,0.0,21.0,100.0,0,0,50,0.0,14.0,0.0,0.0,170.18,56.7,3.23,67.0,1.26,47.0,2.41,41.0,60.0,2.0,9.0,2.0,0.0,172.72,5.51,46.0,4.41,49.0,1.24,16.0,65.0,0.3,1,33.0,2.0,44.0,2.0,0,0,0.0,2,1,0,2.0,0.0,0,0,15,0.0,24.0,31.0,0,0
467,630,780,2,3,300,32,0,0,0,43.0,22.0,0.0,11.0,0,0,0,0,14.0,164,71.0,58,19.0,33.0,8.0,8.0,78.0,58.0,19,22,1,19.0,0.0,0.0,0.0,177.19260869565218,72.48493629070317,0.6499999999999999,27.0,0.5350000000000006,35.5,0.0,0.0,12.5,0.0,4.0,0.0,0.0,154.94,2.33,38.0,5.8,42.0,4.0,16.0,5.0,0.0,0,57.0,36.0,80.0,48.0,0,1,1.0,9,11,12,5.0,3.0,11,8,1,7.0,33.566162570888466,34.0,0,1
468,82,71,4,1,64,6,3,0,0,25.0,53.0,0.0,0.0,0,0,0,0,0.0,3,3.5,100,0.0,0.0,56.5,0.0,100.0,50.0,0,25,0,25.0,22.0,6.0,0.0,177.8,70.31,3.78,48.0,2.65,57.0,1.9,34.0,80.0,0.9,21.0,3.0,0.0,170.18,3.85,48.0,1.91,54.0,3.4,36.0,75.0,0.0,0,2.0,8.0,2.0,8.0,0,0,0.0,0,0,0,2.0,0.0,0,2,0,2.0,35.0,28.0,0,0
469,325,495,4,1,169,6,3,0,0,55.0,57.0,0.0,0.0,0,0,0,0,12.0,2,78.0,33,6.0,20.0,15.0,46.0,54.0,93.0,0,6,45,0.0,14.0,7.0,0.0,190.5,70.31,6.02,48.0,4.63,41.0,0.88,55.0,75.0,1.2,0.0,0.0,0.0,176.98700757575756,0.10000000000000009,27.0,0.30499999999999927,31.625,0.0,0.0,5.0,0.0,1,33.0,15.0,33.0,15.0,0,0,0.0,0,2,3,5.0,7.0,0,1,15,0.0,29.0,32.94502369668246,1,0
