,red_fighter_name,blue_fighter_name,method,round,time,bout_type,bonus,red_fighter_KD,blue_fighter_KD,red_fighter_sig_str_pct,blue_fighter_sig_str_pct,red_fighter_TD_pct,blue_fighter_TD_pct,red_fighter_sub_att,blue_fighter_sub_att,red_fighter_rev,blue_fighter_rev,red_fighter_ctrl,blue_fighter_ctrl,red_fighter_sig_str_head_pct,blue_fighter_sig_str_head_pct,red_fighter_sig_str_body_pct,blue_fighter_sig_str_body_pct,red_fighter_sig_str_leg_pct,blue_fighter_sig_str_leg_pct,red_fighter_sig_str_distance_pct,blue_fighter_sig_str_distance_pct,red_fighter_sig_str_clinch_pct,blue_fighter_sig_str_clinch_pct,red_fighter_sig_str_ground_pct,blue_fighter_sig_str_ground_pct,red_wins,red_losses,red_draws,red_height_cm,red_weight_in_kg,red_significant_strikes_landed_per_minute,red_significant_striking_accuracy,red_significant_strikes_absorbed_per_minute,red_significant_strike_defence,red_average_takedowns_landed_per_15_minutes,red_takedown_accuracy,red_takedown_defense,red_average_submissions_attempted_per_15_minutes,blue_wins,blue_losses,blue_draws,blue_height_cm,blue_significant_strikes_landed_per_minute,blue_significant_striking_accuracy,blue_significant_strikes_absorbed_per_minute,blue_significant_strike_defence,blue_average_takedowns_landed_per_15_minutes,blue_takedown_accuracy,blue_takedown_defense,blue_average_submissions_attempted_per_15_minutes,who_wins,red_fighter_sig_str_landed,blue_fighter_sig_str_landed,red_fighter_total_str_landed,blue_fighter_total_str_landed,red_fighter_TD_landed,red_fighter_TD_attempted,blue_fighter_TD_landed,blue_fighter_TD_attempted,red_fighter_sig_str_body_landed,blue_fighter_sig_str_body_landed,red_fighter_sig_str_leg_landed,blue_fighter_sig_str_leg_landed,red_fighter_sig_str_clinch_landed,blue_fighter_sig_str_clinch_landed,red_fighter_sig_str_ground_landed,blue_fighter_sig_str_ground_landed,red_fighter_age,blue_fighter_age,blue_fighter_stats_missing,red_fighter_stats_missing
1596,ALEJANDRO PEREZ,JOHNNY EDUARDO,Submission,2,253,Bantamweight Bout,perf,0,0,41.0,52.0,100.0,100.0,0,0,0,0,74.0,74,47.0,22,43.0,25.0,8.0,51.0,78.0,90.0,8,6,13,3.0,23.0,9.0,0.0,167.64,61.23,3.45,35.0,3.18,61.0,0.54,22.0,70.0,0.3,28.0,13.0,0.0,170.18,2.95,39.0,3.22,63.0,0.22,20.0,58.0,0.4,Red,23.0,31.0,34.0,38.0,1,1,1.0,1,10,8,2.0,16.0,2,2,3,1.0,35.0,42.5,0,0
1597,ALEXANDER VOLKANOVSKI,BRIAN ORTEGA,Decision - Unanimous,5,300,UFC Featherweight Title Bout,belt,0,0,60.0,37.0,0.0,40.0,0,0,0,0,231.0,54,68.0,67,9.0,22.0,22.0,10.0,73.0,93.0,1,6,24,0.0,26.0,3.0,0.0,167.64,65.77,6.19,57.0,3.42,58.0,1.84,37.0,70.0,0.2,15.0,3.0,0.0,172.72,4.19,38.0,6.66,49.0,0.95,23.0,56.0,1.2,Red,138.625,88.0,199.5,101.0,0,0,2.0,5,20,20,23.5,9.0,3,6,15,0.0,36.0,33.0,0,0
1598,VALENTINA SHEVCHENKO,LAUREN MURPHY,KO/TKO,4,240,UFC Women's Flyweight Title Bout,belt,0,0,57.0,12.0,75.0,0.0,0,0,0,0,244.0,41,63.0,36,19.0,27.0,17.0,36.0,73.0,100.0,6,0,20,0.0,23.0,4.0,0.0,165.1,56.7,3.28,52.0,2.11,62.0,2.56,63.0,71.0,0.4,16.0,6.0,0.0,165.1,4.05,39.0,5.25,55.0,1.03,25.0,69.0,0.1,Red,98.0,11.0,132.0,19.0,3,4,0.0,0,19,3,17.0,4.0,6,0,15,0.0,36.0,41.0,0,0
1599,NICK DIAZ,ROBBIE LAWLER,KO/TKO,3,44,Middleweight Bout,No bonus,0,0,44.0,59.0,0.0,0.0,0,0,0,0,0.0,14,76.0,67,24.0,25.0,0.0,7.0,96.0,75.0,4,23,0,0.0,26.0,10.0,0.0,185.42,77.11,5.71,42.0,3.84,59.0,1.28,32.0,60.0,1.0,30.0,13.0,0.0,180.34,3.85,47.0,4.67,59.0,0.65,64.0,65.0,0.0,Blue,138.625,131.0,150.0,131.0,0,1,0.0,0,33,32,0.0,10.0,6,15,0,1.0,41.0,42.0,0,0
1600,CURTIS BLAYDES,JAIRZINHO ROZENSTRUIK,Decision - Unanimous,3,300,Heavyweight Bout,No bonus,0,0,33.0,26.0,50.0,0.0,0,0,0,0,379.0,0,56.0,94,18.0,5.0,25.0,0.0,75.0,88.0,0,11,25,0.0,17.0,4.0,0.0,193.04,117.92999999999999,3.56,49.0,1.89,59.0,4.68625,53.0,33.0,0.0,13.0,5.0,0.0,187.96,2.81,45.0,3.15,45.0,0.0,0.0,73.0,0.0,Red,32.0,18.0,113.0,46.0,3,6,0.0,0,6,1,8.0,0.0,0,2,8,0.0,33.0,36.0,0,0
1601,JESSICA ANDRADE,CYNTHIA CALVILLO,KO/TKO,1,294,Women's Flyweight Bout,No bonus,0,0,55.0,36.0,0.0,0.0,0,0,0,0,0.0,0,70.0,37,4.0,48.0,25.0,14.0,85.0,100.0,14,0,0,0.0,25.0,12.0,0.0,154.94,52.16,6.67,50.0,5.36,54.0,2.45,54.0,72.0,0.4,9.0,6.0,0.0,162.56,4.41,38.0,4.12,64.0,1.8,44.0,77.0,0.8,Red,48.0,27.0,48.0,27.0,0,0,0.0,0,2,13,12.0,4.0,7,0,0,0.0,33.0,37.0,0,0
1602,MARLON MORAES,MERAB DVALISHVILI,KO/TKO,2,265,Bantamweight Bout,perf,0,0,65.0,63.0,0.0,100.0,0,0,0,0,30.0,360,79.0,91,0.0,8.0,20.0,0.0,72.0,28.5,3,0,24,27.5,23.0,10.0,0.0,167.64,61.23,3.37,40.0,4.53,54.0,0.87,41.0,46.0,0.3,16.0,4.0,0.0,167.64,4.46,41.0,2.41,56.0,4.55625,36.0,78.0,0.3,Blue,29.0,69.0,34.0,182.5,0,0,2.5,4,0,6,6.0,0.0,1,0,7,8.125,36.0,34.0,0,0
1603,DAN HOOKER,NASRAT HAQPARAST,Decision - Unanimous,3,300,Lightweight Bout,No bonus,0,0,47.0,39.0,42.0,0.0,0,0,0,0,424.0,3,35.0,62,36.0,33.0,27.0,3.0,75.0,85.0,19,14,5,0.0,23.0,12.0,0.0,182.88,70.31,5.08,48.0,4.76,51.0,0.79,34.0,80.0,0.4,15.0,5.0,0.0,177.8,5.73,44.0,5.26,64.0,0.32,20.0,78.0,0.0,Red,73.0,27.0,177.0,35.0,3,7,0.0,1,27,9,20.0,1.0,14,4,4,0.0,34.0,29.0,0,0
1604,SHAMIL ABDURAKHIMOV,CHRIS DAUKAUS,KO/TKO,2,83,Heavyweight Bout,perf,0,0,36.0,40.0,0.0,0.0,0,0,0,0,0.0,48,56.0,89,26.0,5.0,17.0,5.0,95.0,47.0,4,5,0,27.5,20.0,8.0,0.0,190.5,106.59,2.41,44.0,3.02,55.0,1.01,23.0,45.0,0.1,12.0,7.0,0.0,190.5,6.05,50.0,4.64,55.0,0.0,0.0,100.0,0.0,Blue,23.0,38.0,23.0,38.0,0,0,0.0,0,6,2,4.0,2.0,1,2,0,8.125,43.0,35.0,0,0
1605,ROXANNE MODAFFERI,TAILA SANTOS,Decision - Unanimous,3,300,Women's Flyweight Bout,No bonus,0,0,19.0,57.0,0.0,100.0,0,0,0,0,182.0,413,72.0,69,11.0,14.0,16.0,16.0,88.0,72.0,11,14,0,12.0,25.0,15.5,0.0,170.18,56.7,3.35,30.0,5.7,51.0,1.35,23.0,30.0,0.1,19.0,3.0,0.0,167.64,3.39,48.0,2.64,58.0,2.0,76.0,86.0,1.1,Blue,18.0,55.0,43.0,118.0,0,4,2.5,5,2,8,3.0,9.0,2,8,0,7.0,42.0,31.0,0,0
1606,UROS MEDIC,JALIN TURNER,Submission,1,241,Lightweight Bout,No bonus,0,0,54.0,53.0,0.0,100.0,0,0,0,0,0.0,144,33.0,64,0.0,32.0,56.5,4.0,100.0,64.0,0,12,0,24.0,9.0,2.0,0.0,185.42,77.11,5.64,60.0,3.18,58.0,0.4,87.5,46.0,0.0,14.0,7.0,0.0,190.5,6.02,48.0,4.63,41.0,0.88,55.0,75.0,1.2,Blue,6.0,25.0,6.0,40.0,0,0,1.0,1,0,8,4.0,1.0,0,3,0,6.0,31.0,29.0,0,0
1607,CODY BRUNDAGE,NICK MAXIMOV,Decision - Unanimous,3,300,Middleweight Bout,No bonus,0,0,52.0,35.0,0.0,26.0,0,0,0,0,115.0,413,78.0,85,10.0,7.0,10.0,7.0,46.0,57.0,14,21,39,21.0,10.0,5.0,0.0,182.88,83.91,1.8,55.0,2.51,43.0,2.69,52.0,73.0,1.1,8.0,2.0,0.0,182.88,1.93,45.0,2.64,46.0,4.16,45.0,35.0,0.2,Blue,28.0,14.0,59.0,84.0,0,1,2.5,10,3,1,3.0,1.0,4,3,11,3.0,30.0,27.0,0,0
1608,MATTHEW SEMELSBERGER,MARTIN SANO,KO/TKO,1,15,Welterweight Bout,No bonus,0,0,60.0,33.0,0.0,0.0,0,0,0,0,1.0,0,66.0,100,33.0,0.0,0.0,0.0,66.0,100.0,0,0,33,0.0,11.0,6.0,0.0,185.42,77.11,4.06,43.0,4.36,55.0,1.02,58.0,50.0,0.1,4.0,3.0,0.0,180.34,4.0,33.0,7.385000000000002,40.0,0.0,0.0,5.0,0.0,Red,3.0,1.0,3.0,1.0,0,0,0.0,0,1,0,0.0,0.0,0,0,1,0.0,32.0,33.0,0,0
1609,JONATHAN PEARCE,OMAR MORALES,Submission,2,211,Featherweight Bout,No bonus,0,0,34.0,48.0,54.0,0.0,0,0,0,0,333.0,19,75.0,75,25.0,0.0,0.0,25.0,91.0,66.0,8,33,0,0.0,14.0,5.0,0.0,182.88,65.77,5.6,56.0,3.35,55.0,4.68625,53.0,56.0,0.8,11.0,4.0,0.0,180.34,3.42,40.0,3.18,58.0,0.46,93.5,63.0,0.0,Red,12.0,12.0,55.0,27.0,5,10,0.0,0,3,0,0.0,3.0,1,4,0,0.0,32.0,39.0,0,0
