,red_fighter_name,blue_fighter_name,method,round,time,bout_type,bonus,red_fighter_KD,blue_fighter_KD,red_fighter_sig_str_pct,blue_fighter_sig_str_pct,red_fighter_TD_pct,blue_fighter_TD_pct,red_fighter_sub_att,blue_fighter_sub_att,red_fighter_rev,blue_fighter_rev,red_fighter_ctrl,blue_fighter_ctrl,red_fighter_sig_str_head_pct,blue_fighter_sig_str_head_pct,red_fighter_sig_str_body_pct,blue_fighter_sig_str_body_pct,red_fighter_sig_str_leg_pct,blue_fighter_sig_str_leg_pct,red_fighter_sig_str_distance_pct,blue_fighter_sig_str_distance_pct,red_fighter_sig_str_clinch_pct,blue_fighter_sig_str_clinch_pct,red_fighter_sig_str_ground_pct,blue_fighter_sig_str_ground_pct,red_wins,red_losses,red_draws,red_height_cm,red_weight_in_kg,red_significant_strikes_landed_per_minute,red_significant_striking_accuracy,red_significant_strikes_absorbed_per_minute,red_significant_strike_defence,red_average_takedowns_landed_per_15_minutes,red_takedown_accuracy,red_takedown_defense,red_average_submissions_attempted_per_15_minutes,blue_wins,blue_losses,blue_draws,blue_height_cm,blue_significant_strikes_landed_per_minute,blue_significant_striking_accuracy,blue_significant_strikes_absorbed_per_minute,blue_significant_strike_defence,blue_average_takedowns_landed_per_15_minutes,blue_takedown_accuracy,blue_takedown_defense,blue_average_submissions_attempted_per_15_minutes,who_wins,red_fighter_sig_str_landed,blue_fighter_sig_str_landed,red_fighter_total_str_landed,blue_fighter_total_str_landed,red_fighter_TD_landed,red_fighter_TD_attempted,blue_fighter_TD_landed,blue_fighter_TD_attempted,red_fighter_sig_str_body_landed,blue_fighter_sig_str_body_landed,red_fighter_sig_str_leg_landed,blue_fighter_sig_str_leg_landed,red_fighter_sig_str_clinch_landed,blue_fighter_sig_str_clinch_landed,red_fighter_sig_str_ground_landed,blue_fighter_sig_str_ground_landed,red_fighter_age,blue_fighter_age,blue_fighter_stats_missing,red_fighter_stats_missing
0,ILIA TOPURIA,MAX HOLLOWAY,KO/TKO,3,94,UFC Featherweight Title Bout,belt,0,0,52.0,38.0,100.0,0.0,0,0,0,0,45.0,0,65.0,59,14.0,16.0,20.0,24.0,94.0,100.0,0,0,5,0.0,14.0,0.0,0.0,170.18,65.77,4.44,46.0,3.05,67.0,2.19,56.0,92.0,1.5,25.0,7.0,0.0,180.34,7.17,47.0,4.75,59.0,0.27,53.0,84.0,0.3,Red,75.0,79.0,78.0,84.0,2,2,0.0,0,11,13,15.0,19.0,0,0,4,0.0,28.0,33.0,0,0
1,ROBERT WHITTAKER,KHAMZAT CHIMAEV,Submission,1,214,Middleweight Bout,perf,0,0,85.0,75.0,0.0,50.0,0,0,0,0,0.0,200,3.5,66,0.0,33.0,56.5,0.0,100.0,28.5,0,0,0,27.5,25.0,7.0,0.0,182.88,83.91,4.47,42.0,3.39,60.0,0.85,39.0,82.0,0.0,13.0,0.0,0.0,187.96,5.72,58.0,3.46,42.0,3.99,46.0,100.0,1.7499999999999998,Blue,2.0,3.0,2.0,25.0,0,0,2.0,4,0,1,2.0,0.0,0,0,0,3.0,34.0,30.0,0,0
2,MAGOMED ANKALAEV,ALEKSANDAR RAKIC,Decision - Unanimous,3,300,Light Heavyweight Bout,No bonus,0,0,48.0,45.0,0.0,0.0,0,0,0,0,91.0,60,36.0,18,40.0,16.0,23.0,57.5,90.0,94.0,9,5,0,0.0,18.0,1.0,0.0,190.5,92.99,3.56,52.0,2.2,58.0,1.07,31.0,86.0,0.0,14.0,3.0,0.0,193.04,4.01,50.0,2.3,53.0,0.82,25.0,90.0,0.2,Red,55.0,53.0,75.0,59.0,0,0,0.0,1,22,9,13.0,23.5,5,3,0,0.0,32.0,32.0,0,0
3,LERONE MURPHY,DAN IGE,Decision - Unanimous,3,300,Featherweight Bout,No bonus,0,0,52.0,43.0,60.0,33.0,0,0,0,0,137.0,287,69.0,76,23.0,10.0,7.0,13.0,71.0,69.0,23,13,5,17.0,13.0,0.0,0.0,175.26,65.77,3.65,50.0,2.4,56.0,1.29,46.0,46.0,0.9,17.0,7.0,0.0,170.18,3.76,45.0,3.53,57.0,1.07,26.0,58.0,0.3,Red,52.0,46.0,78.0,52.0,3,5,1.0,3,12,5,4.0,6.0,12,6,3,8.0,33.0,33.0,0,0
4,SHARA MAGOMEDOV,ARMEN PETROSYAN,KO/TKO,2,292,Middleweight Bout,perf,0,0,61.0,55.0,0.0,0.0,0,0,0,0,2.0,21,36.0,28,44.0,12.0,18.0,57.5,96.0,97.0,3,2,0,0.0,12.0,0.0,0.0,187.96,83.91,7.450000000000001,67.0,4.33,35.5,0.0,0.0,57.0,0.0,9.0,2.0,0.0,190.5,5.97,52.0,3.03,56.0,0.23,33.0,36.0,0.0,Red,65.0,77.0,67.0,77.0,0,0,0.0,0,29,10,12.0,23.5,2,2,0,0.0,30.0,34.0,0,0
5,IBO ASLAN,RAFAEL CERQUEIRA,KO/TKO,1,51,Light Heavyweight Bout,No bonus,0,0,77.0,83.0,0.0,0.0,0,0,0,0,0.0,0,92.0,0,7.0,0.0,0.0,57.5,100.0,100.0,0,0,0,0.0,12.0,1.0,0.0,190.5,92.99,7.450000000000001,67.0,3.38,63.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,176.98700757575756,0.10000000000000009,27.0,0.30499999999999927,31.625,0.0,0.0,5.0,0.0,Red,28.0,1.0,28.0,1.0,0,0,0.0,0,2,0,0.0,1.0,0,0,0,0.0,28.0,32.94502369668246,1,0
6,GEOFF NEAL,RAFAEL DOS ANJOS,KO/TKO,1,90,Welterweight Bout,No bonus,0,0,60.0,30.0,100.0,0.0,0,0,0,0,27.0,0,66.0,50,16.0,25.0,16.0,25.0,72.0,100.0,0,0,27,0.0,15.0,5.0,0.0,180.34,77.11,5.22,50.0,5.6,58.0,0.51,44.0,87.0,0.1,30.0,13.0,0.0,172.72,3.52,47.0,3.19,60.0,2.01,35.0,56.0,0.6,Red,18.0,4.0,21.0,4.0,1,1,0.0,0,3,1,3.0,1.0,0,0,5,0.0,34.0,40.0,0,0
7,MATEUSZ REBECKI,MYKTYBEK OROLBAI,Decision - Split,3,300,Catch Weight Bout,fight,0,0,48.0,45.0,75.0,40.0,0,0,0,0,144.0,125,73.0,75,14.0,9.0,12.0,14.0,76.0,98.0,7,0,16,1.0,18.0,1.0,0.0,170.18,70.31,5.31,53.0,2.01,63.0,4.16,72.0,66.0,1.6,12.0,1.0,0.0,177.8,0.87,40.0,1.52,48.0,4.55625,70.0,5.0,1.6,Red,71.0,61.0,93.0,85.0,3,4,2.0,5,10,6,9.0,9.0,5,0,12,1.0,32.0,26.0,0,0
8,ABUS MAGOMEDOV,BRUNNO FERREIRA,Submission,3,194,Middleweight Bout,No bonus,0,0,44.0,40.0,50.0,0.0,0,0,0,0,216.0,13,38.0,68,30.0,31.0,30.0,0.0,100.0,89.0,0,3,0,6.0,25.0,6.0,0.0,187.96,83.91,3.73,42.0,5.36,54.0,0.61,50.0,100.0,0.0,10.0,1.0,0.0,177.8,5.79,53.0,5.22,47.0,0.0,0.0,50.0,0.0,Red,26.0,29.0,45.0,36.0,4,8,0.0,0,8,9,8.0,0.0,0,1,0,2.0,34.0,32.0,0,0
9,KENNEDY NZECHUKWU,CHRIS BARNETT,KO/TKO,1,267,Heavyweight Bout,No bonus,0,0,68.0,35.0,0.0,0.0,0,0,0,0,0.0,0,54.0,25,43.0,16.0,1.0,57.5,98.0,100.0,0,0,1,0.0,12.0,4.0,0.0,195.58,92.99,4.86,46.0,4.27,51.0,0.68,50.0,80.0,0.3,23.0,8.0,0.0,175.26,4.41,48.0,5.87,40.0,0.0,0.0,33.0,0.0,Red,51.0,12.0,51.0,12.0,0,0,0.0,1,22,2,1.0,7.0,0,0,1,0.0,32.0,38.0,0,0
10,FARID BASHARAT,VICTOR HUGO,Decision - Unanimous,3,300,Featherweight Bout,No bonus,0,0,47.0,36.0,57.0,25.0,0,0,0,0,277.0,18,65.0,51,13.0,31.0,21.0,17.0,90.0,95.0,3,4,6,0.0,11.0,0.0,0.0,172.72,61.23,5.2,63.0,2.34,58.0,3.5,53.0,83.0,0.4,24.0,4.0,0.0,170.18,1.24,34.0,1.1,65.0,2.06,50.0,66.0,1.7499999999999998,Red,60.0,45.0,89.0,48.0,4,7,1.0,4,8,14,13.0,8.0,2,2,4,0.0,27.0,32.0,0,0
11,ISMAIL NAURDIEV,BRUNO SILVA,Decision - Unanimous,3,300,Middleweight Bout,No bonus,0,0,56.0,37.0,23.0,0.0,0,0,0,0,351.0,0,63.0,77,22.0,11.0,13.0,11.0,77.0,83.0,16,16,6,0.0,19.0,4.0,0.0,177.8,77.11,3.17,52.0,1.3,68.0,1.25,71.0,70.0,0.2,13.0,5.0,0.0,162.56,3.05,46.0,3.09,59.0,2.57,30.0,64.0,0.3,Red,66.0,36.0,107.0,38.0,3,10,0.0,3,15,4,9.0,4.0,11,6,4,0.0,28.0,34.0,0,0
12,ISMAIL NAURDIEV,BRUNO SILVA,Decision - Unanimous,3,300,Middleweight Bout,No bonus,0,0,56.0,37.0,23.0,0.0,0,0,0,0,351.0,0,63.0,77,22.0,11.0,13.0,11.0,77.0,83.0,16,16,6,0.0,19.0,4.0,0.0,177.8,77.11,3.17,52.0,1.3,68.0,1.25,71.0,70.0,0.2,23.0,10.0,0.0,182.88,4.43,51.0,5.33,43.0,1.09,27.0,73.0,0.0,Red,66.0,36.0,107.0,38.0,3,10,0.0,3,15,4,9.0,4.0,11,6,4,0.0,28.0,35.0,0,0
13,RINAT FAKHRETDINOV,CARLOS LEAL,Decision - Unanimous,3,300,Welterweight Bout,No bonus,0,0,49.0,43.0,10.0,25.0,0,0,0,0,194.0,13,75.0,67,13.0,14.0,11.0,17.0,88.0,87.0,11,12,0,0.0,21.0,1.0,0.0,182.88,77.11,4.05,56.0,2.16,52.0,4.25,46.0,100.0,0.3,0.0,0.0,0.0,176.98700757575756,0.10000000000000009,27.0,0.30499999999999927,31.625,0.0,0.0,5.0,0.0,Red,109.0,107.0,119.0,146.0,2,10,1.0,4,15,16,12.0,19.0,13,13,0,0.0,33.0,32.94502369668246,1,0
14,ANTHONY HERNANDEZ,MICHEL PEREIRA,KO/TKO,5,142,Middleweight Bout,perf,0,0,71.0,45.0,34.0,0.0,0,0,0,0,527.5,56,82.0,33,14.0,53.5,3.0,0.0,28.0,83.0,7,16,50,0.0,11.0,2.0,0.0,182.88,83.91,4.33,62.0,3.36,46.0,4.68625,57.0,63.0,2.0,29.0,11.0,0.0,185.42,5.09,53.0,3.74,58.0,1.56,55.0,94.0,0.6,Red,138.625,24.0,199.5,29.0,5,10,0.0,1,22,16,5.0,0.0,12,4,15,0.0,31.0,31.0,0,0
15,ROB FONT,KYLER PHILLIPS,Decision - Unanimous,3,300,Bantamweight Bout,No bonus,0,0,44.0,30.0,0.0,80.0,0,0,0,0,79.0,282,81.0,50,18.0,23.0,0.0,26.0,91.0,84.0,8,2,0,13.0,20.0,8.0,0.0,172.72,61.23,5.53,45.0,3.65,56.0,0.89,35.0,46.0,0.3,11.0,2.0,0.0,172.72,5.36,46.0,3.36,61.0,2.87,46.0,70.0,0.6,Red,61.0,38.0,65.0,50.0,0,1,2.5,5,11,9,0.0,10.0,5,1,0,5.0,37.0,29.0,0,0
16,CHARLES JOHNSON,SUMUDAERJI,Decision - Unanimous,3,300,Flyweight Bout,No bonus,0,0,43.0,52.0,33.0,0.0,0,0,0,0,178.0,50,64.0,54,23.0,9.0,12.0,36.0,75.0,90.0,7,9,16,0.0,13.0,6.0,0.0,175.26,56.7,4.34,55.0,3.27,54.0,0.19,14.0,62.0,0.2,16.0,5.0,0.0,172.72,4.83,54.0,2.75,62.0,0.32,93.5,66.0,0.6,Red,65.0,75.0,84.0,78.0,2,6,0.0,3,15,7,8.0,23.5,5,7,11,0.0,34.0,29.0,0,0
17,JAKE HADLEY,CAMERON SMOTHERMAN,Decision - Unanimous,3,300,Bantamweight Bout,No bonus,0,0,36.0,37.0,50.0,0.0,0,0,0,0,113.0,0,46.0,44,28.0,50.0,25.0,5.0,98.0,100.0,1,0,0,0.0,10.0,2.0,0.0,170.18,56.7,3.42,44.0,3.2,60.0,0.32,25.0,35.0,2.0,8.0,4.0,0.0,175.26,4.0,36.0,7.385000000000002,35.0,0.0,0.0,5.0,0.0,Blue,60.0,96.0,70.0,97.0,1,2,0.0,0,17,32,15.0,5.0,1,0,0,0.0,28.0,27.0,0,0
18,DARREN ELKINS,DANIEL PINEDA,Decision - Unanimous,3,300,Featherweight Bout,fight,0,0,44.0,58.0,25.0,0.0,0,0,0,0,393.0,182,76.0,67,23.0,22.0,0.0,9.0,71.0,54.0,7,3,20,27.5,28.0,11.0,0.0,177.8,65.77,3.44,38.0,3.27,52.0,2.85,35.0,56.0,1.1,28.0,13.0,0.0,170.18,3.09,49.0,3.18,46.0,1.71,25.0,48.0,1.7,Red,39.0,31.0,102.0,61.0,3,10,0.0,0,9,7,0.0,3.0,3,1,8,8.125,40.0,39.0,0,0
19,MATHEUS NICOLAU,ASU ALMABAYEV,Decision - Unanimous,3,300,Flyweight Bout,No bonus,0,0,38.0,40.0,0.0,16.0,0,0,0,0,0.0,317,50.0,31,31.0,36.0,18.0,31.0,75.0,77.0,0,4,25,18.0,19.0,4.0,0.0,167.64,56.7,3.66,53.0,3.14,66.0,1.48,45.0,93.0,0.9,0.0,0.0,0.0,176.98700757575756,0.10000000000000009,27.0,0.30499999999999927,31.625,0.0,0.0,5.0,0.0,Blue,16.0,22.0,38.0,55.0,0,1,1.0,6,5,8,3.0,7.0,0,1,4,4.0,32.0,32.94502369668246,1,0
20,BRAD KATONA,JEAN MATSUMOTO,Decision - Unanimous,3,300,Bantamweight Bout,No bonus,0,0,63.0,44.0,37.0,14.0,0,0,0,0,215.0,124,76.0,69,13.0,6.0,10.0,23.0,82.0,95.0,16,4,1,0.0,15.0,2.0,0.0,167.64,61.23,4.8,51.0,4.57,50.0,1.0,20.0,50.0,0.0,14.0,0.0,0.0,167.64,6.67,36.0,6.6,49.0,0.0,0.0,66.0,0.0,Blue,89.0,89.0,117.0,109.0,3,8,1.0,7,12,6,9.0,21.0,15,4,1,0.0,33.0,25.0,0,0
21,JOSELYNE EDWARDS,TAMIRES VIDAL,Submission,3,273,Women's Bantamweight Bout,No bonus,0,0,60.0,49.0,57.0,0.0,0,0,0,0,270.0,155,59.0,44,24.0,26.0,16.0,29.0,75.0,73.0,11,26,13,0.0,13.0,5.0,0.0,172.72,61.23,4.71,52.0,3.36,50.0,1.0,33.0,64.0,0.3,7.0,2.0,0.0,167.64,4.25,55.0,4.53,58.0,0.0,0.0,40.0,0.8,Red,81.0,34.0,151.0,53.0,4,7,0.0,1,20,9,13.0,10.0,9,9,11,0.0,29.0,26.0,0,0
22,JESSICA PENNE,ELISE REED,Decision - Unanimous,3,300,Women's Strawweight Bout,No bonus,0,0,43.0,62.0,7.0,0.0,0,0,0,0,196.0,30,48.0,71,33.0,15.0,18.0,12.0,81.0,94.0,18,5,0,0.0,14.0,8.0,0.0,165.1,52.16,2.52,31.0,4.75,46.0,1.32,21.0,36.0,0.6,7.0,4.0,0.0,160.02,2.66,49.0,3.06,52.0,0.58,60.0,42.0,0.0,Blue,54.0,117.0,98.0,182.5,1,10,0.0,0,18,18,10.0,15.0,10,7,0,0.0,41.0,32.0,0,0
23,MELISSA MARTINEZ,ALICE ARDELEAN,Decision - Unanimous,3,300,Women's Strawweight Bout,No bonus,0,0,49.0,41.0,0.0,0.0,0,0,0,0,0.0,41,45.0,64,25.0,16.0,29.0,19.0,100.0,98.0,0,1,0,0.0,7.0,1.0,0.0,157.48,52.16,3.0,57.0,2.53,45.0,1.0,50.0,12.5,0.0,0.0,0.0,0.0,176.98700757575756,0.10000000000000009,27.0,0.30499999999999927,31.625,0.0,0.0,5.0,0.0,Red,72.0,92.0,78.0,103.0,0,0,0.0,1,18,15,21.0,18.0,0,1,0,0.0,27.0,32.94502369668246,1,0
24,AUSTEN LANE,ROBELIS DESPAIGNE,Decision - Unanimous,3,300,Heavyweight Bout,No bonus,0,0,60.0,67.0,37.0,0.0,0,0,0,0,527.5,0,30.0,74,26.0,6.0,43.0,19.0,73.0,67.0,0,32,26,0.0,12.0,4.0,0.0,198.12,111.13,4.48,47.0,2.85,48.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,176.98700757575756,0.10000000000000009,27.0,0.30499999999999927,31.625,0.0,0.0,5.0,0.0,Red,23.0,31.0,78.0,48.0,3,8,0.0,0,6,2,10.0,6.0,0,10,6,0.0,37.0,32.94502369668246,1,0
25,BRANDON ROYVAL,TATSURO TAIRA,Decision - Split,5,300,Flyweight Bout,fight,0,0,53.0,42.0,100.0,40.0,0,0,0,0,143.0,413,91.0,80,8.0,11.0,0.0,7.0,78.0,90.0,8,0,12,9.0,15.0,6.0,0.0,175.26,56.7,3.45,38.0,2.63,50.0,0.66,87.5,39.0,2.0,14.0,0.0,0.0,170.18,3.23,67.0,1.26,47.0,2.41,41.0,60.0,1.7499999999999998,Red,124.0,42.0,172.0,80.0,3,3,2.5,10,10,5,0.0,3.0,11,0,15,4.0,32.0,24.0,0,0
26,BRAD TAVARES,JUNYONG PARK,Decision - Split,3,300,Middleweight Bout,No bonus,0,0,43.0,55.0,0.0,33.0,0,0,0,0,42.0,392,84.0,76,3.0,4.0,12.0,19.0,95.0,91.0,0,3,4,5.0,20.0,9.0,0.0,185.42,83.91,3.38,43.0,3.03,56.0,0.81,26.0,82.0,0.0,17.0,5.0,0.0,177.8,4.94,51.0,3.66,53.0,2.1,50.0,69.0,1.2,Blue,65.0,99.0,73.0,124.0,0,0,2.0,6,2,4,8.0,19.0,0,3,3,5.0,37.0,33.0,0,0
27,CHIDI NJOKUANI,JARED GOODEN,Decision - Unanimous,3,300,Welterweight Bout,No bonus,0,0,70.0,40.0,0.0,25.0,0,0,0,0,527.5,149,46.0,65,44.0,25.0,8.0,10.0,26.0,70.0,35,25,20,5.0,22.0,10.0,0.0,190.5,83.91,4.04,60.0,3.19,53.0,0.0,0.0,67.0,0.3,23.0,9.0,0.0,182.88,5.08,49.0,6.68,48.0,0.67,93.5,65.0,0.2,Red,105.0,20.0,162.0,81.0,0,0,2.0,8,33,5,9.0,2.0,15,5,15,1.0,36.0,31.0,0,0
28,GRANT DAWSON,RAFA GARCIA,KO/TKO,2,102,Lightweight Bout,No bonus,0,0,48.0,41.0,50.0,0.0,0,0,0,0,309.0,0,86.0,80,9.0,20.0,4.0,0.0,12.5,80.0,0,20,50,0.0,20.0,2.0,0.0,177.8,70.31,2.97,51.0,2.27,45.0,3.68,36.0,40.0,1.5,16.0,3.0,0.0,170.18,4.19,42.0,4.21,61.0,3.61,44.0,79.0,0.3,Red,44.0,5.0,80.0,29.0,2,4,0.0,0,4,1,2.0,0.0,0,1,15,0.0,30.0,30.0,0,0
29,DANIEL RODRIGUEZ,ALEX MORONO,Decision - Split,3,300,Welterweight Bout,No bonus,0,0,47.0,28.0,100.0,0.0,0,0,0,0,56.0,0,35.0,78,45.0,12.0,18.0,9.0,95.0,100.0,4,0,0,0.0,17.0,4.0,0.0,185.42,77.11,7.3,50.0,5.28,56.0,0.62,50.0,63.0,0.1,23.0,9.0,0.0,180.34,5.02,41.0,4.17,58.0,0.34,22.0,50.0,0.3,Red,123.0,74.0,126.0,91.0,1,1,0.0,1,33,9,23.0,7.0,6,0,0,0.0,38.0,34.0,0,0
30,CJ VERGARA,RAMAZAN TEMIROV,KO/TKO,1,170,Flyweight Bout,perf,0,0,25.0,41.0,0.0,0.0,0,0,0,0,0.0,5,25.0,78,25.0,17.0,50.0,4.0,100.0,86.0,0,0,0,13.0,12.0,4.0,0.0,167.64,56.7,6.01,57.0,5.01,53.0,0.0,0.0,74.0,0.2,0.0,0.0,0.0,176.98700757575756,0.10000000000000009,27.0,0.30499999999999927,31.625,0.0,0.0,5.0,0.0,Blue,4.0,23.0,4.0,23.0,0,0,0.0,0,1,4,2.0,1.0,0,0,0,3.0,33.0,32.94502369668246,1,0
31,JONATHAN PEARCE,PAT SABATINI,Submission,1,246,Featherweight Bout,No bonus,0,0,85.0,60.0,0.0,66.0,0,0,0,0,0.0,236,3.5,66,50.0,33.0,50.0,0.0,100.0,33.0,0,33,0,27.5,14.0,5.0,0.0,182.88,65.77,5.6,56.0,3.35,55.0,4.68625,53.0,56.0,0.8,18.0,5.0,0.0,172.72,2.02,59.0,1.54,49.0,3.73,42.0,50.0,1.7499999999999998,Blue,2.0,3.0,32.0,19.0,0,0,2.0,3,1,1,1.0,0.0,0,1,0,1.0,32.0,34.0,0,0
32,THEMBA GORIMBO,NIKO PRICE,Decision - Unanimous,3,300,Welterweight Bout,No bonus,0,0,53.0,30.0,77.0,0.0,0,0,0,0,527.5,60,64.0,81,13.0,12.0,22.0,6.0,63.0,68.0,8,31,27,0.0,11.0,4.0,0.0,185.42,77.11,1.8,59.0,1.71,42.0,3.47,50.0,66.0,0.0,15.0,7.0,0.0,182.88,5.46,42.0,5.6,48.0,0.7,20.0,64.0,0.7,Red,68.0,16.0,141.0,58.0,5,9,0.0,3,9,2,15.0,1.0,6,5,15,0.0,34.0,35.0,0,0
33,JUNIOR TAFA,SEAN SHARAF,KO/TKO,2,135,Heavyweight Bout,No bonus,0,0,55.0,44.0,0.0,12.0,0,0,0,0,2.0,46,85.0,73,14.0,13.0,0.0,13.0,100.0,83.0,0,1,0,15.0,5.0,1.0,0.0,190.5,108.86,1.83,40.0,0.55,71.5,0.0,0.0,84.0,0.0,0.0,0.0,0.0,176.98700757575756,0.10000000000000009,27.0,0.30499999999999927,31.625,0.0,0.0,5.0,0.0,Red,71.0,53.0,71.0,54.0,0,0,1.0,8,10,7,0.0,7.0,0,1,0,8.0,28.0,32.94502369668246,1,0
34,JULIA POLASTRI,CORY MCKENNA,Decision - Split,3,300,Women's Strawweight Bout,No bonus,0,0,60.0,32.0,0.0,16.0,0,0,0,0,193.0,320,45.0,75,39.0,15.0,14.0,10.0,61.0,87.0,35,12,2,0.0,12.0,3.0,0.0,157.48,52.16,6.19,52.0,5.11,62.0,0.62,87.5,42.0,0.6,8.0,2.0,0.0,160.02,3.01,40.0,3.22,48.0,2.04,56.0,71.0,0.5,Red,88.0,40.0,142.0,98.0,0,1,1.0,6,33,6,13.0,4.0,15,5,2,0.0,26.0,25.0,0,0
35,DAN ARGUETA,CODY HADDON,Decision - Unanimous,3,300,Bantamweight Bout,No bonus,0,0,38.0,50.0,16.0,50.0,0,0,0,0,263.0,91,62.0,71,24.0,27.0,12.0,1.0,77.0,92.0,16,7,5,0.0,9.0,2.0,0.0,170.18,61.23,2.35,47.0,1.9,52.0,2.54,50.0,60.0,1.9,0.0,0.0,0.0,176.98700757575756,0.10000000000000009,27.0,0.30499999999999927,31.625,0.0,0.0,5.0,0.0,Blue,54.0,137.375,65.0,148.0,4,10,2.0,4,13,32,7.0,2.0,9,10,3,0.0,31.0,32.94502369668246,1,0
36,CLAYTON CARPENTER,LUCAS ROCHA,Submission,2,132,Flyweight Bout,perf,0,0,56.0,41.0,66.0,0.0,0,0,0,0,278.0,0,64.0,58,20.0,35.0,14.0,5.0,58.0,94.0,2,5,38,0.0,7.0,0.0,0.0,167.64,56.7,4.5,51.0,2.85,60.0,2.47,50.0,12.5,2.0,17.0,1.0,0.0,160.02,1.51,53.0,4.15,33.0,0.0,0.0,66.0,0.0,Red,34.0,17.0,36.0,21.0,2,3,0.0,0,7,6,5.0,1.0,1,1,13,0.0,28.0,24.0,0,0
37,ALEX PEREIRA,KHALIL ROUNTREE JR.,KO/TKO,4,272,UFC Light Heavyweight Title Bout,belt,0,0,60.0,31.0,0.0,0.0,0,0,0,0,0.0,0,72.0,55,13.0,26.0,14.0,18.0,96.0,98.0,3,1,0,0.0,9.0,2.0,0.0,193.04,92.99,5.0,62.0,3.65,50.0,0.19,87.5,70.0,0.4,13.0,5.0,0.0,185.42,3.73,38.0,4.16,50.0,0.0,0.0,56.0,0.1,Red,127.0,61.0,129.0,62.0,0,0,0.0,0,17,16,18.0,11.0,4,1,0,0.0,37.0,34.0,0,0
38,RAQUEL PENNINGTON,JULIANNA PENA,Decision - Split,5,300,UFC Women's Bantamweight Title Bout,belt,0,0,29.0,35.0,0.0,66.0,0,0,0,0,33.0,340,61.0,89,31.0,9.0,6.0,1.0,95.0,97.0,4,2,0,0.0,15.0,9.0,0.0,170.18,61.23,4.02,50.0,3.34,62.0,0.93,27.0,63.0,0.6,12.0,5.0,0.0,167.64,3.16,47.0,2.3,50.0,1.94,55.0,23.0,0.8,Blue,92.0,92.0,112.0,123.0,0,0,2.0,3,29,9,6.0,1.0,4,2,0,0.0,36.0,35.0,0,0
39,JOSE ALDO,MARIO BAUTISTA,Decision - Split,3,300,Bantamweight Bout,No bonus,0,0,43.0,34.0,0.0,0.0,0,0,0,0,0.0,413,80.0,53,11.0,24.0,7.0,22.0,90.0,89.0,3,10,5,0.0,31.0,8.0,0.0,170.18,61.23,3.57,46.0,3.74,60.0,0.49,54.0,91.0,0.1,13.0,2.0,0.0,175.26,5.32,51.0,4.2,53.0,2.72,50.0,56.0,1.3,Blue,51.0,49.0,65.0,90.0,0,0,0.0,10,6,12,4.0,11.0,2,5,3,0.0,38.0,31.0,0,0
40,ROMAN DOLIDZE,KEVIN HOLLAND,KO/TKO,1,300,Middleweight Bout,No bonus,0,0,57.0,64.0,100.0,0.0,0,0,0,0,170.0,0,84.0,27,10.0,16.0,5.0,55.0,26.0,100.0,0,0,50,0.0,12.0,2.0,0.0,187.96,83.91,3.02,44.0,3.01,55.0,1.72,50.0,33.0,1.7,25.0,10.0,0.0,190.5,4.39,49.0,3.22,51.0,0.78,38.0,53.0,0.5,Red,19.0,18.0,57.0,36.0,1,1,0.0,0,2,3,1.0,10.0,0,0,14,0.0,36.0,32.0,0,0
41,KETLEN VIEIRA,KAYLA HARRISON,Decision - Unanimous,3,300,Women's Bantamweight Bout,No bonus,0,0,39.0,58.0,0.0,25.0,0,0,0,0,0.0,413,50.0,61,16.0,25.0,33.0,12.0,87.0,34.0,12,27,0,27.5,14.0,3.0,0.0,172.72,61.23,3.04,41.0,3.92,51.0,1.51,44.0,92.0,0.6,0.0,0.0,0.0,176.98700757575756,0.10000000000000009,27.0,0.30499999999999927,31.625,0.0,0.0,5.0,0.0,Blue,24.0,55.0,67.0,98.0,0,0,2.0,8,4,14,8.0,7.0,3,15,0,8.125,33.0,32.94502369668246,1,0
42,STEPHEN THOMPSON,JOAQUIN BUCKLEY,KO/TKO,3,137,Welterweight Bout,perf,0,0,46.0,36.0,0.0,57.0,0,0,0,0,3.0,253,77.0,67,14.0,26.0,8.0,5.0,73.0,82.0,26,14,0,2.0,17.0,6.0,0.0,182.88,77.11,4.2,45.0,3.04,55.0,0.27,41.0,64.0,0.0,17.0,6.0,0.0,177.8,3.87,33.0,3.31,57.0,1.51,36.0,65.0,0.0,Blue,49.0,34.0,63.0,55.0,0,0,2.5,7,7,9,4.0,2.0,13,5,0,1.0,41.0,30.0,0,0
43,MARINA RODRIGUEZ,IASMIN LUCINDO,Decision - Split,3,300,Women's Strawweight Bout,No bonus,0,0,33.0,41.0,100.0,75.0,0,0,0,0,11.0,280,84.0,63,15.0,30.0,0.0,6.0,84.0,90.0,9,3,6,6.0,17.0,3.0,0.0,167.64,52.16,4.77,48.0,2.89,56.0,0.25,42.0,66.0,0.2,15.0,5.0,0.0,160.02,3.33,39.0,3.23,67.0,2.33,66.0,66.0,0.4,Blue,33.0,30.0,65.0,55.0,1,1,2.5,4,5,9,0.0,2.0,3,1,2,2.0,37.0,23.0,0,0
